Title,Date,Rating,Author,Summary,OCN,Pros,Cons
HP OfficeJet Pro 8022,2020-05-18,8.3,Morten Skeldal Østergaard,Härlig allroundskrivare.,Skrivare, Många funktioner," Problem med nyanser
"
Sandberg Commander Gaming Chair RGB,2020-05-13,7.9,Morten Skeldal Østergaard,Spelstol för kontoret.,Diverse, Komfortabel kontorsstol," Klen hållare för batteriet
"
Fitbit Aria Air,2020-06-30,8.9,Morten Skeldal Østergaard,Billig smartvåg.,Diverse, Smart våg," Mäter ej fettprocent
"
Huawei MatePad Pro,2020-06-19,8.8,Markus Dahlberg,Prestandatung och elegant surfplatta.,Pekdator, Flaggskeppsnivå," Inte tillgång till alla appar
"
Apption Labs Meater Block,2020-05-19,9.7,Morten Skeldal Østergaard,Det utlimata grillverktyget.,Diverse, Bra app," Dyr
"
Asus ROG Strix Scope PBT,2020-05-05,9.1,Morten Skeldal Østergaard,Ovanligt gediget tangentbord.,Tangentbord, Riktigt bra tangenter,
JBL Club One,2020-06-18,8.3,Markus Dahlberg,Snygga hörlurar med brusreducering.,Hörlurar och headset, Eleganta," Ljudkvalitet inte i paritet med priset
"
Google Hangouts,2020-06-17,8.4,Morten Skeldal Østergaard,Hangouts är Googles smidigt integrerade tjänst för videosamtal.,Program appar spel, Fint integrerad i Googles tjänster," Rörigt urval av videoappar
"
Facebook Messenger,2020-06-04,8.3,Morten Skeldal Østergaard,Videochatta med Facebookvännerna.,Program appar spel, Nästan alla har ett konto,
HyperX Cloud Flight S,2020-06-15,9.3,Morten Skeldal Østergaard,Bra headset som på alla sätt är trådlöst.,Hörlurar och headset, Bra och klart ljud," Stor usb-adapter
"
Trust Verto,2020-06-04,7.6,Morten Skeldal Østergaard,Billig ergonomisk mus.,Mus, Billig," Få funktioner
"
Denver EBO-630L,2020-04-06,7.8,Morten Skeldal Østergaard,Funktionsrik e-boksläsare.,Diverse, Bra kontrast, Jobbiga knappar
Netgear Orbi AX6000,2020-02-21,9.4,Henrik Ræder Clausen,Meshsystem med WiFi 6.,Router, Höga topphastigheter," Hemskt dyr
"
Huawei Watch GT 2e,2020-06-04,8.4,Morten Skeldal Østergaard,Tuff träningsklocka med lång batteritid.,Smartklockor, Bra träningsklocka," Ingen koppling med Endomondo
"
HP Envy x360 Convertible 13-ar0802no,2020-02-06,8.0,Morten Skeldal Østergaard,En blandning mellan dator och surfplatta.,Dator, Liten och lätt, Ingen usb c-laddning
